-1.41638125208, 51.0843237247, 51.9753550973
-1.41636116633, 51.0841532168, 53.8191353407
-1.41632604278, 51.0838550461, 54.900197193
-1.41633761643, 51.0838201242, 50.6655271369
-1.41636553082, 51.0838028186, 54.5525167562
-1.41644438505, 51.0837990748, 53.6453289075
-1.41644799329, 51.0838187857, 50.259085909
-1.4164476767, 51.0838439596, 52.327326996
-1.41644597769, 51.0838655351, 53.4126745053
-1.4164480016, 51.083941523, 50.3357046615
-1.41647707062, 51.0840041711, 50.5062579102
-1.41651193479, 51.0840699872, 50.9711161694
-1.41654986767, 51.0841187298, 51.203186556
-1.41665791346, 51.0841552376, 53.0332629551
-1.41683735851, 51.0841903081, 54.3247170699
-1.41691393187, 51.0841977029, 52.1504057625
-1.41699081674, 51.0842030328, 54.9509305854
-1.41705178858, 51.0842061009, 52.7064662796
-1.41705760841, 51.0842063934, 50.7923035846
-1.41712969473, 51.0842092345, 51.2802822676
-1.41714549311, 51.0842098275, 51.3523513826
-1.41714697792, 51.0842098251, 53.2658521381
-1.41718977278, 51.0842096957, 50.2972439254
-1.41729197841, 51.0842093875, 53.7607324286
-1.41743867194, 51.0842037338, 53.1466509997
-1.41758532451, 51.0842012269, 53.3094898466
-1.4177160354, 51.084203856, 53.2601040862
-1.41784678698, 51.0842083645, 53.8558192276
-1.41797748634, 51.0842144193, 50.320885024
-1.41810788455, 51.0842217223, 50.0503370994
-1.41823826785, 51.0842301042, 51.2192673682
-1.41836835839, 51.0842392937, 51.4549222921
-1.41849844192, 51.0842489327, 52.4551255112
-1.41849916832, 51.0842489552, 53.2776254418
-1.41986281397, 51.0842880708, 53.6781563214
-1.42102195987, 51.0841841184, 50.7426882446
-1.42102830535, 51.0841834754, 53.9463358865
-1.42109243316, 51.0841770001, 52.5764684391
-1.42109743793, 51.0843822324, 50.7156827735
-1.42107950722, 51.0844005767, 50.3000513114
-1.42106991061, 51.0844029571, 52.1691134092
-1.4209968823, 51.0844069146, 54.7855816692
-1.41988698692, 51.0844670555, 54.5174697987
-1.4174384417, 51.0843777471, 52.2637906659
-1.41710196391, 51.0843654698, 54.2610912689
-1.4169234155, 51.0843589552, 51.7107302577
-1.41644755592, 51.0843415912, 52.6044214832
-1.41640320189, 51.0843378629, 52.4142424106
-1.41638677415, 51.0843272592, 52.2983686863
-1.41638125208, 51.0843237247, 50.6618864189
-1.4177160354, 51.084203856, 54.039595433
-1.41758532451, 51.0842012269, 54.6946810709
-1.41743867194, 51.0842037338, 53.6552891983
-1.41729197841, 51.0842093875, 53.1732760995
-1.41718977278, 51.0842096957, 53.529196103
-1.41714697792, 51.0842098251, 52.8501177327
-1.41714549311, 51.0842098275, 50.1852885023
-1.41712969473, 51.0842092345, 52.7227091269
-1.41705760841, 51.0842063934, 53.4185365709
-1.41705178858, 51.0842061009, 50.4214208266
-1.41699081674, 51.0842030328, 51.9295576603
-1.41691393187, 51.0841977029, 52.9994519339
-1.41683735851, 51.0841903081, 51.8121951219
-1.41665791346, 51.0841552376, 50.7330530444
-1.41654986767, 51.0841187298, 50.4303841035
-1.41651193479, 51.0840699872, 53.2853826298
-1.41647707062, 51.0840041711, 52.5413911495
-1.4164480016, 51.083941523, 51.7180720524
-1.41644597769, 51.0838655351, 51.1330379141
-1.4164476767, 51.0838439596, 51.8343978851
-1.41644799329, 51.0838187857, 51.4605683783
-1.41644438505, 51.0837990748, 51.2067873006
-1.41688248367, 51.0837804868, 51.2143208373
-1.41711755627, 51.083706124, 52.668859618
-1.41713740745, 51.0837055935, 54.2477197641
-1.41794159494, 51.0836850405, 50.221776638
-1.4182757355, 51.0836786188, 51.5029276116
-1.41849133137, 51.0836769932, 54.6081942174
-1.4188782726, 51.083673521, 51.1394268297
-1.41897107159, 51.0836734425, 51.9748601899
-1.42101966645, 51.0836126436, 51.3318015345
-1.4210176299, 51.0836157898, 50.4790019902
-1.4210052781, 51.0836903639, 51.6913324114
-1.42100286209, 51.0837351331, 51.3252280609
-1.42099966023, 51.0837973433, 53.7915027064
-1.42099918911, 51.0838350993, 50.0274270765
-1.42100170768, 51.0838620883, 51.398653076
-1.42100421349, 51.0838899856, 51.5273906742
-1.42101099236, 51.0839187942, 52.3017241067
-1.42101652317, 51.0839332091, 52.8374195201
-1.42102759613, 51.0839611307, 53.5116521256
-1.42104295164, 51.0839890915, 50.2937420744
-1.42104713353, 51.0839971962, 54.6701962061
-1.42106383589, 51.0840203079, 53.1836822485
-1.42106324017, 51.0840222833, 51.4059750265
-1.42102331283, 51.08417855, 53.6213252853
-1.42102195987, 51.0841841184, 51.4822499918
-1.41986281397, 51.0842880708, 51.5146233233
-1.41849916832, 51.0842489552, 53.4044657843
-1.41849844192, 51.0842489327, 52.4065286124
-1.41836835839, 51.0842392937, 53.1695077125
-1.41823826785, 51.0842301042, 54.0629932818
-1.41810788455, 51.0842217223, 54.0969496108
-1.41797748634, 51.0842144193, 54.9614206253
-1.41784678698, 51.0842083645, 54.1248141151
-1.4177160354, 51.084203856, 51.5364232857
-1.40385704586, 51.0892680075, 53.1699082186
-1.40420321312, 51.0892088464, 53.3692672559
-1.40458669984, 51.0891442569, 54.2660440677
-1.4049573618, 51.0890778024, 52.4395378062
-1.40523924677, 51.0890306782, 54.2365504415
-1.40557125302, 51.0889721182, 53.5836134684
-1.40692100214, 51.0886797094, 52.0253475258
-1.40694418873, 51.0886753308, 53.6051304218
-1.40706727291, 51.0886524852, 50.6780651049
-1.40710099414, 51.0887065194, 52.1686582944
-1.40712838737, 51.0887631221, 50.6160838952
